subject,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,original_mri_voxel_x,original_mri_voxel_z,original_mri_voxel_y,original_mri_world_x,original_mri_world_y,original_mri_world_z,original_mni_nlin6asym_x,original_mni_nlin6asym_y,original_mni_nlin6asym_z,alleninf_mni_nlin6asym_x,alleninf_mni_nlin6asym_y,alleninf_mni_nlin6asym_z,cic_mni_nlin6asym_x,cic_mni_nlin6asym_y,cic_mni_nlin6asym_z,original_mni_sym09c_x,original_mni_sym09c_y,original_mni_sym09c_z,alleninf_mni_sym09c_x,alleninf_mni_sym09c_y,alleninf_mni_sym09c_z,cic_mni_sym09c_x,cic_mni_sym09c_y,cic_mni_sym09c_z,distance_alleninf_mni_nlin6asym_to_original_mni_nlin6asym,distance_cic_mni_nlin6asym_to_original_mni_nlin6asym,distance_cic_mni_nlin6asym_to_alleninf_mni_nlin6asym,distance_original_mni_sym09c_to_original_mni_nlin6asym,distance_original_mni_sym09c_to_alleninf_mni_nlin6asym,distance_original_mni_sym09c_to_cic_mni_nlin6asym,distance_alleninf_mni_sym09c_to_original_mni_nlin6asym,distance_alleninf_mni_sym09c_to_alleninf_mni_nlin6asym,distance_alleninf_mni_sym09c_to_cic_mni_nlin6asym,distance_alleninf_mni_sym09c_to_original_mni_sym09c,distance_cic_mni_sym09c_to_original_mni_nlin6asym,distance_cic_mni_sym09c_to_alleninf_mni_nlin6asym,distance_cic_mni_sym09c_to_cic_mni_nlin6asym,distance_cic_mni_sym09c_to_original_mni_sym09c,distance_cic_mni_sym09c_to_alleninf_mni_sym09c
H0351.2001,4264,16,2604,CX,CA2,"CA2 field, right",55429,65,105,95,27.5,-5,-9,29.3,-20.1,-10.6,31.2163417441573,-18.6371971072292,-16.457325132792402,30.9196475997194,-17.9985145879223,-13.292674461931,28.9651554077813,-20.3773563121435,-10.8534833132197,30.5570313706891,-18.9495867166277,-17.0093209748989,30.5334511107614,-18.1326589774204,-13.6602087410228,6.334067863130297,3.78021097855498,3.2420605553251876,0.5032903882499519,6.284825941768465,3.9279232600948615,6.631966069630854,0.9148643868496509,3.8535036039833686,6.516665743776568,3.841446326632122,2.9231418800183153,0.5497489350829459,3.9212147561151673,3.4473873752224535
H0351.2001,4265,16,2612,CX,CA3,"CA3 field, right",55610,64,108,97,28.5,-7,-12,30.3,-23,-13.4,32.3741842670244,-21.2886513097707,-18.924220596259502,31.7902547787684,-21.063407368409,-15.9967640700166,29.8439205279883,-23.4347153188098,-13.7556916512223,31.8810280324461,-21.7882484201634,-19.1780138001108,31.2626843476782,-21.5238323137167,-16.4176293400785,6.143937492297489,3.565730494822033,2.9936115635494907,0.7235346874529409,6.141784494400735,3.7991741204733325,6.111745659374884,0.7464658965668063,3.2640441447866615,6.021813490916453,3.4945556263127626,2.752043222932139,0.8169756823593799,3.570752987055783,2.8411242769418945
H0351.2001,4266,16,2619,CX,CA4,"CA4 field, right",39211,62,107,96,30.5,-6,-11,32.4,-21.6,-12.5,34.3314184038417,-20.6370837357383,-18.2731340734519,33.8638068587075,-19.6173062300219,-14.8363919241437,32.1696057758932,-21.9882963105564,-12.8319101752573,33.8795684726062,-20.9975617318627,-18.3661919333432,33.6842287610917,-20.0154992964811,-15.2006744258285,6.163332038169732,3.3959582341826575,3.615218294811464,0.5603747743544635,6.008837389294886,3.536927812752305,6.079824218747393,0.5854677713887734,3.7900978593935113,5.876546775739279,3.3843061836351525,3.2008170730430163,0.5687774189902641,3.434684107864969,3.3201062212321273
H0351.2001,4267,16,2627,CX,DG,"dentate gyrus, right",39172,61,107,96,31.5,-6,-11,33.5,-21.6,-12.4,35.2721349063505,-20.9096617992485,-18.3522133199321,34.7652074353664,-19.644753547929,-14.8129648339133,33.4044517107957,-21.9990200889584,-12.6402677463476,34.8456278229607,-21.2897458188515,-18.3794341180404,34.8006813658272,-20.0414383589832,-15.0665712867721,6.248669647508968,3.3535261788966104,3.792525305239356,0.4754735501552022,6.107476093928575,3.4806378327081005,6.136823630090053,0.5719380438377055,3.9283800942319282,5.959705464071208,3.3513413481315966,3.4309654549653894,0.4721583124282222,3.415923352389299,3.540529880847036
H0351.2001,4285,16,2596,CX,TCd,"tail of caudate nucleus, right",56066,57,106,98,35.5,-8,-10,37.7,-23.3,-10.9,38.847489520668894,-24.024636793472,-16.9521817655076,39.1653437584703,-21.4802712819646,-13.2856551370352,37.5373962897437,-24.0133133934843,-10.8132087495963,38.3392555815017,-24.7751759666309,-16.8806649231472,38.9585693266606,-22.1907117209023,-13.317696850423,6.202478118078369,3.339160878213724,4.474175308359497,0.7367419392567799,6.277217710354675,3.896088607619852,6.192991583553928,0.9092444369412719,4.945999789668848,6.1674498232333566,2.942749615019895,4.07248087694423,0.7406132285647075,3.4079422390851715,4.444968665766302
H0351.2001,13005,16,2635,CX,LHM,"lateral hypothalamic area, mammillary region, left",240495,90,100,94,2.5,-4,-4,3,-18.3,-5.9,5.6215690084624015,-15.4754596881896,-9.94713976089067,3.52900945841149,-15.3349143392504,-6.53141326123444,2.47451936552134,-18.29670321337,-6.0748169012511,5.29765519560644,-15.7084573662817,-10.3772062883844,3.10911612366244,-15.3962914354169,-6.71417036008173,5.588380112640398,3.077379841542871,4.008209823109503,0.5538065681961665,5.732209069180483,3.176888875427054,5.66044952004924,0.5866560271792253,4.249443039319015,5.760179417222817,3.017665178861296,4.095214067317317,0.4620364895542209,3.0370832014370226,4.2784323121739805
H0351.2001,13006,16,2643,CX,LHM,"lateral hypothalamic area, mammillary region, right",240497,79,100,96,13.5,-6,-4,14.5,-20.1,-5.3,17.0046761169805,-18.6962182206835,-8.649320962049169,15.752883101835,-16.9035272032596,-6.90315533221483,14.3201489617249,-20.3433971465558,-5.38111870383667,16.5913807031535,-18.928532116092,-8.93191977090471,15.4912661224659,-17.1811082867248,-7.19181224422223,4.411570768075187,3.7890977061002182,2.798181774569723,0.3133190243701752,4.538835804667077,4.025174262209576,4.351672261423101,0.551946493653935,2.9865713237933735,4.446180933744561,3.616834379227831,2.590424595702132,0.4783487374725414,3.827557619995721,2.7003178210164083
H0351.2001,4679,16,2651,CX,PHA,"posterior hypothalamic area, left",240671,87,94,94,5.5,-4,2,6.2,-16.5,0.5,8.56006772221071,-14.421618962129994,-3.16197441320445,6.1792930303283,-13.5539553499902,-0.56204089387921,6.63035373611489,-16.3322999434513,0.69034696484013,8.75988139587139,-14.6339547143902,-3.21178691113324,6.59447791398829,-13.5925574375919,-0.294850150094954,4.8269704779460305,3.131699014706889,3.6305072072990283,0.4995594200676545,4.713266158435789,3.080767727204833,4.879803258588922,0.2957925976416411,3.853179063505141,4.7587722530881384,3.039839114070464,3.573693865703728,0.49523681441402584,2.9117158907253327,3.7791534231056167
H0351.2001,4693,16,2659,CX,PHA,"posterior hypothalamic area, right",240496,82,95,94,10.5,-4,1,11.5,-16.7,-0.4,13.8861633926925,-15.1421267178932,-3.67729303990816,12.0541868510994,-13.7467574454241,-1.6560073676895,11.8829697796027,-16.8198820918451,-0.392677329237537,13.8547669253439,-15.420475855958,-3.65968202442301,12.2476881131085,-13.9710769908776,-1.6489019532443,4.342970707840252,3.256734431878006,3.0641131219677256,0.4013616692475662,4.1971833547192725,3.3270727620638434,4.219909502374011,0.2806672918061641,3.171456140570543,4.064436181730102,3.092865078372936,2.8583787547154373,0.2963317124204184,3.1347743574386047,2.954098148924939
H0351.2001,9077,16,2683,CX,SNC,"substantia nigra, pars compacta, right",39267,71,103,97,21.5,-7,-7,22.9,-21.8,-8.2,24.9778439703582,-19.8942837779062,-11.9354854891195,24.5395276358905,-18.9556965343626,-10.9254779796867,22.5759786483199,-22.2962786088601,-8.43436666587288,24.7363536710083,-20.1767424108719,-12.1140203140429,24.3564429353749,-19.273146876483,-11.2064103282957,4.680068559725142,4.26688918197353,1.4467834640728459,0.6373460818339459,4.8781522329291045,4.606587544034606,4.618085644986256,0.412280399397529,1.7153210781650892,4.764399742226624,4.188641282553824,1.1417096332772971,0.4617550343745218,4.471420872067642,1.3358790899797415
