subject,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,original_mri_voxel_x,original_mri_voxel_z,original_mri_voxel_y,original_mri_world_x,original_mri_world_y,original_mri_world_z,template,gm_mask,gm_mask_file,remapped,original_mni_sym09c_x,original_mni_sym09c_y,original_mni_sym09c_z,alleninf_mni_sym09c_x,alleninf_mni_sym09c_y,alleninf_mni_sym09c_z,cic_mni_sym09c_x,cic_mni_sym09c_y,cic_mni_sym09c_z,gm_remapping_distance_original,gm_remapping_distance_alleninf,gm_remapping_distance_cic
H0351.2002,4351,12,5850,CX,BMA,"basomedial nucleus, left",1004328,110,103,86,-17.5,4,-7,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-18.4877906276087,-10.4106155630228,-15.4250088221875,-21,-12,-19,-19,-9,-17,0,2.1721694852627316,1.4910785102909014
H0351.2002,4295,14,5826,CX,GPe,"globus pallidus, external segment, left",1020997,119,90,99,-26.5,-9,6,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-29,-21,3,-30,-21,1,-31,-21,0,3.1984540714255814,4.479649033045517,3.1629090975541363
H0351.2002,4323,14,5818,CX,Cl,"claustrum, right",1012531,65,84,94,27.5,-4,12,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,33,-19,8,33,-20,7,33.052173168434,-17.2578850440807,7.79943855080736,0.9421894375592614,0.95331527428167,0
H0351.2002,4299,14,5810,CX,GPi,"globus pallidus, internal segment, right",1020982,71,90,92,21.5,-2,6,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,28,-16,1,29,-19,0,29,-17,-1,2.0742702643100257,2.5902299355491034,2.682372338306923
H0351.2002,4298,14,5802,CX,GPe,"globus pallidus, external segment, right",1020987,69,91,93,23.5,-3,5,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,29,-18,0,29,-19,-1,30,-18,-2,1.1539578904953811,1.2762461703747177,1.1416563217377376
H0351.2002,4258,14,5786,CX,DG,"dentate gyrus, left",1007812,119,98,102,-26.5,-12,-2,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-29,-29,-9,-28.6469029351422,-28.283678559853,-9.61238797335725,-30,-28,-10,1.8797504147482311,0,0.8571682666620742
H0351.2002,4254,14,5849,CX,CA1,"CA1 field, left",1007815,122,99,102,-29.5,-12,-3,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-31.916405025202,-27.7664421809259,-8.90954849838503,-32.1482037004254,-28.5049016301078,-10.3721909221899,-33.9366964044051,-27.6456859526286,-10.624294776358,0,0,0
H0351.2002,4251,14,5841,CX,S,"subiculum, left",1007816,114,99,103,-21.5,-13,-3,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,-22.7198182818066,-28.5954337162879,-8.58072965988532,-24.1658077821329,-28.6805055015309,-11.5224093082604,-24.5052610239397,-28.6832105715547,-10.5971788605327,0,0,0
H0351.2002,4285,14,5833,CX,TCd,"tail of caudate nucleus, right",1009753,62,104,94,30.5,-4,-8,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,36.3340951252537,-19.0171165837258,-15.6425083156919,36,-20,-18,36,-18,-17,0,0.6534527119549616,3.244813905115298
H0351.2002,4267,14,5825,CX,DG,"dentate gyrus, right",1009274,69,106,94,23.5,-4,-10,sym09c,AHRA,data/outputs/transformed_atlases/human_reference_atlas_annotation_full_on_sym09c_gm_mask.mnc,TRUE,27.6917071037579,-19.1606212526051,-18.3744765986518,29.5430137141796,-19.3311586466683,-20.9012252316277,30.3784934857011,-19.6588676304432,-19.1700819292586,0,0,0
